test_instance_evrp: 1, 206786.00, 206786.00, 1.00, subproblem = 1, timelimit = 1
test_instance_evrp: 1, 206786.00, 206786.00, 1.00, subproblem = 1, timelimit = 1
test_instance_evrp: 1, 206786.00, 206786.00, 1.00, subproblem = 1, timelimit = 1
test_instance_evrp: 1, 206786.00, 206786.00, 10.00, subproblem = 1, timelimit = 10
test_instance_evrp: 2, 231236.00, 231236.00, 10.00, subproblem = 1, timelimit = 10
test_instance_evrp: 2, 222847.00, 222847.00, 10.00, subproblem = 1, timelimit = 10
test_instance_evrp: 2, 191395.00, 191395.00, 10.00, subproblem = 1, timelimit = 10
test_instance_evrp: 1, 148746.00, 148746.00, 10.00, subproblem = 1, timelimit = 10
test_instance_evrp: 1, 233186.00, 233186.00, 10.00, subproblem = 1, timelimit = 10
test_instance_evrp: 2, 206078.00, 206078.00, 10.00, subproblem = 1, timelimit = 10
test_instance_evrp: 2, 242038.00, 242038.00, 10.00, subproblem = 1, timelimit = 10
test_instance_evrp: 2, 193753.00, 193753.00, 10.00, subproblem = 1, timelimit = 10
test_instance_evrp: 2, 163140.00, 163140.00, 10.00, subproblem = 1, timelimit = 10
test_instance_evrp: 1, 81885.00, 81885.00, 10.00, subproblem = 1, timelimit = 10
test_instance_evrp: 2, 187955.00, 187955.00, 10.00, subproblem = 1, timelimit = 10
test_instance_evrp: 2, 246239.00, 246239.00, 10.00, subproblem = 1, timelimit = 10
test_instance_evrp: 2, 188405.00, 188405.00, 10.00, subproblem = 1, timelimit = 10
test_instance_evrp: 2, 186772.00, 186772.00, 10.00, subproblem = 1, timelimit = 10
test_instance_evrp: 2, 148268.00, 148268.00, 10.00, subproblem = 1, timelimit = 10
test_instance_evrp: 2, 225782.00, 225782.00, 10.00, subproblem = 1, timelimit = 10
test_instance_evrp: 2, 205382.00, 205382.00, 10.00, subproblem = 1, timelimit = 10
test_instance_evrp: 1, 116111.00, 116111.00, 10.00, subproblem = 1, timelimit = 10
test_instance_evrp: 2, 240846.00, 240846.00, 10.00, subproblem = 1, timelimit = 10
test_instance_evrp: 1, 81885.00, 81885.00, 10.00, subproblem = 1, timelimit = 10
test_instance_evrp: 2, 187955.00, 187955.00, 10.00, subproblem = 1, timelimit = 10
test_instance_evrp: 2, 246239.00, 246239.00, 10.00, subproblem = 1, timelimit = 10
test_instance_evrp: 2, 188405.00, 188405.00, 10.00, subproblem = 1, timelimit = 10
test_instance_evrp: 2, 186772.00, 186772.00, 10.00, subproblem = 1, timelimit = 10
test_instance_evrp: 2, 148268.00, 148268.00, 10.00, subproblem = 1, timelimit = 10
test_instance_evrp: 2, 225782.00, 225782.00, 10.00, subproblem = 1, timelimit = 10
test_instance_evrp: 2, 205382.00, 205382.00, 10.00, subproblem = 1, timelimit = 10
test_instance_evrp: 1, 116111.00, 116111.00, 10.00, subproblem = 1, timelimit = 10
test_instance_evrp: 2, 240846.00, 240846.00, 10.00, subproblem = 1, timelimit = 10
test_instance_evrp: 3, 385670.00, 385670.00, 10.00, subproblem = 1, timelimit = 10
