ID,type,lng,lat,first_receive_tm,last_receive_tm,service_time,reward,unit_charging_cost,charge_rate_kwh_per_hour
0,d,50.0,50.0,0.0,999.0,0.0,0.0,0.0,0.0
1,c,37.0,53.0,7.0,228.0,2.0,18.0,0.0,0.0
2,c,74.0,6.0,14.0,236.0,3.0,20.0,0.0,0.0
3,c,11.0,59.0,21.0,244.0,4.0,16.0,0.0,0.0
4,c,48.0,12.0,28.0,252.0,5.0,20.0,0.0,0.0
5,c,85.0,65.0,35.0,260.0,6.0,11.0,0.0,0.0
6,c,22.0,18.0,42.0,268.0,7.0,12.0,0.0,0.0
7,c,59.0,71.0,49.0,276.0,8.0,18.0,0.0,0.0
8,c,96.0,24.0,56.0,284.0,9.0,17.0,0.0,0.0
9,c,33.0,77.0,63.0,292.0,10.0,11.0,0.0,0.0
10,c,70.0,30.0,70.0,300.0,1.0,12.0,0.0,0.0
11,c,7.0,83.0,77.0,308.0,2.0,15.0,0.0,0.0
12,c,44.0,36.0,84.0,316.0,3.0,13.0,0.0,0.0
13,c,81.0,89.0,91.0,324.0,4.0,18.0,0.0,0.0
14,c,18.0,42.0,98.0,332.0,5.0,13.0,0.0,0.0
15,c,55.0,95.0,105.0,340.0,6.0,18.0,0.0,0.0
16,c,92.0,48.0,112.0,348.0,7.0,11.0,0.0,0.0
17,c,29.0,1.0,119.0,356.0,8.0,15.0,0.0,0.0
18,c,66.0,54.0,126.0,364.0,9.0,12.0,0.0,0.0
19,c,3.0,7.0,133.0,372.0,10.0,13.0,0.0,0.0
20,c,40.0,60.0,140.0,380.0,1.0,18.0,0.0,0.0
21,c,77.0,13.0,147.0,388.0,2.0,16.0,0.0,0.0
22,c,14.0,66.0,154.0,396.0,3.0,11.0,0.0,0.0
23,c,51.0,19.0,161.0,404.0,4.0,11.0,0.0,0.0
24,c,88.0,72.0,168.0,412.0,5.0,16.0,0.0,0.0
25,c,25.0,25.0,175.0,420.0,6.0,19.0,0.0,0.0
26,c,62.0,78.0,2.0,248.0,7.0,12.0,0.0,0.0
27,c,99.0,31.0,9.0,256.0,8.0,16.0,0.0,0.0
28,c,36.0,84.0,16.0,264.0,9.0,16.0,0.0,0.0
29,c,73.0,37.0,23.0,272.0,10.0,18.0,0.0,0.0
30,c,10.0,90.0,30.0,280.0,1.0,18.0,0.0,0.0
31,c,47.0,43.0,37.0,288.0,2.0,13.0,0.0,0.0
32,c,84.0,96.0,44.0,296.0,3.0,17.0,0.0,0.0
33,c,21.0,49.0,51.0,304.0,4.0,16.0,0.0,0.0
34,c,58.0,2.0,58.0,312.0,5.0,10.0,0.0,0.0
35,c,95.0,55.0,65.0,320.0,6.0,15.0,0.0,0.0
36,c,32.0,8.0,72.0,328.0,7.0,13.0,0.0,0.0
37,c,69.0,61.0,79.0,336.0,8.0,10.0,0.0,0.0
38,c,6.0,14.0,86.0,344.0,9.0,20.0,0.0,0.0
39,c,43.0,67.0,93.0,352.0,10.0,18.0,0.0,0.0
40,c,80.0,20.0,100.0,360.0,1.0,20.0,0.0,0.0
41,c,17.0,73.0,107.0,368.0,2.0,20.0,0.0,0.0
42,c,54.0,26.0,114.0,376.0,3.0,10.0,0.0,0.0
43,c,91.0,79.0,121.0,384.0,4.0,20.0,0.0,0.0
44,c,28.0,32.0,128.0,392.0,5.0,13.0,0.0,0.0
45,c,65.0,85.0,135.0,400.0,6.0,13.0,0.0,0.0
46,c,2.0,38.0,142.0,408.0,7.0,10.0,0.0,0.0
47,c,39.0,91.0,149.0,416.0,8.0,20.0,0.0,0.0
48,c,76.0,44.0,156.0,424.0,9.0,18.0,0.0,0.0
49,c,13.0,97.0,163.0,432.0,10.0,14.0,0.0,0.0
50,c,50.0,50.0,170.0,440.0,1.0,10.0,0.0,0.0
51,c,87.0,3.0,177.0,448.0,2.0,18.0,0.0,0.0
52,c,24.0,56.0,4.0,276.0,3.0,14.0,0.0,0.0
53,c,61.0,9.0,11.0,284.0,4.0,14.0,0.0,0.0
54,c,98.0,62.0,18.0,292.0,5.0,16.0,0.0,0.0
