ID,type,lng,lat,first_receive_tm,last_receive_tm,service_time,reward,unit_charging_cost,charge_rate_kwh_per_hour
0,d,116.169919,40.081007,0.0,960.0,0.0,0,0.3,61
1,c,116.601568,39.951513,30.0,90.0,30.0,13,0.0,0
2,c,116.412138,39.956784,60.0,150.0,30.0,7,0.0,0
3,c,116.322119,39.932563,60.0,180.0,30.0,18,0.0,0
4,c,116.399498,39.925915,120.0,150.0,30.0,13,0.0,0
5,c,116.662575,39.868626,150.0,210.0,30.0,8,0.0,0
6,c,116.402981,39.93919,120.0,210.0,30.0,6,0.0,0
7,c,116.253428,40.052571,120.0,240.0,30.0,17,0.0,0
8,c,116.531504,40.01869,0.0,90.0,30.0,15,0.0,0
9,c,116.321862,39.96991,180.0,210.0,30.0,15,0.0,0
10,c,116.372615,39.861817,120.0,180.0,30.0,6,0.0,0
11,c,116.254576,39.816948,0.0,60.0,30.0,10,0.0,0
12,c,116.235474,40.073661,0.0,90.0,30.0,9,0.0,0
13,c,116.66264,39.902105,150.0,240.0,30.0,15,0.0,0
14,c,116.175597,40.138825,120.0,210.0,30.0,15,0.0,0
15,c,116.59466,39.909594,60.0,180.0,30.0,12,0.0,0
16,c,116.560182,39.926281,0.0,120.0,30.0,10,0.0,0
17,c,116.455684,40.020494,0.0,90.0,30.0,5,0.0,0
18,c,116.178557,39.933607,0.0,120.0,30.0,18,0.0,0
19,c,116.20642,39.910762,60.0,90.0,30.0,7,0.0,0
20,c,116.526048,40.12524,120.0,150.0,30.0,17,0.0,0
21,c,116.141472,39.956932,0.0,30.0,30.0,7,0.0,0
22,c,116.484398,39.991689,60.0,120.0,30.0,5,0.0,0
23,c,116.213881,40.162757,30.0,60.0,30.0,15,0.0,0
24,c,116.43516,39.841622,60.0,120.0,30.0,19,0.0,0
25,c,116.368982,39.991744,90.0,150.0,30.0,8,0.0,0
26,c,116.584462,39.775935,90.0,150.0,30.0,6,0.0,0
27,c,116.373762,39.896645,120.0,180.0,30.0,7,0.0,0
28,c,116.575505,40.03411,150.0,210.0,30.0,9,0.0,0
29,c,116.579401,39.799296,150.0,210.0,30.0,9,0.0,0
30,c,116.405098,39.854012,0.0,90.0,30.0,5,0.0,0
31,c,116.370587,39.879335,60.0,150.0,30.0,14,0.0,0
32,c,116.57742,39.820522,90.0,180.0,30.0,18,0.0,0
33,c,116.567662,39.807068,120.0,240.0,30.0,20,0.0,0
34,c,116.501883,39.943854,60.0,180.0,30.0,13,0.0,0
35,c,116.428632,39.94263,120.0,240.0,30.0,20,0.0,0
36,c,116.171591,39.916688,0.0,60.0,30.0,6,0.0,0
37,c,116.413422,40.1087,120.0,240.0,30.0,14,0.0,0
38,c,116.340421,39.962202,0.0,30.0,30.0,15,0.0,0
39,c,116.490455,40.062981,120.0,210.0,30.0,20,0.0,0
40,c,116.173078,39.829917,120.0,240.0,30.0,11,0.0,0
41,c,116.485587,39.749063,0.0,120.0,30.0,15,0.0,0
42,c,116.270369,40.064991,120.0,240.0,30.0,5,0.0,0
43,c,116.410394,39.749525,90.0,210.0,30.0,17,0.0,0
44,c,116.36743,39.943948,60.0,180.0,30.0,18,0.0,0
45,c,116.622613,39.828987,180.0,210.0,30.0,20,0.0,0
46,c,116.344687,40.098548,120.0,150.0,30.0,18,0.0,0
47,c,116.412047,39.921248,180.0,210.0,30.0,16,0.0,0
48,c,116.666681,39.963302,210.0,240.0,30.0,6,0.0,0
49,c,116.623855,40.034764,120.0,150.0,30.0,10,0.0,0
50,c,116.26072,39.867382,120.0,180.0,30.0,7,0.0,0
51,c,116.116424,39.698811,90.0,120.0,30.0,20,0.0,0
52,c,116.441446,39.907006,210.0,240.0,30.0,13,0.0,0
53,c,116.414931,40.116648,120.0,150.0,30.0,10,0.0,0
54,c,116.657571,39.936746,120.0,180.0,30.0,15,0.0,0
55,c,116.259966,39.902255,210.0,240.0,30.0,15,0.0,0
56,c,116.428845,39.97703,60.0,120.0,30.0,17,0.0,0
57,c,116.11608,40.043544,30.0,60.0,30.0,7,0.0,0
58,c,116.4898,39.986323,60.0,120.0,30.0,19,0.0,0
59,c,116.67724,40.003634,180.0,210.0,30.0,17,0.0,0
60,c,116.554579,39.9881,120.0,180.0,30.0,15,0.0,0
61,c,116.269235,40.14266,0.0,60.0,30.0,5,0.0,0
62,c,116.390683,39.869448,120.0,180.0,30.0,11,0.0,0
63,c,116.443659,40.085047,180.0,240.0,30.0,7,0.0,0
64,c,116.451792,40.12353,60.0,120.0,30.0,16,0.0,0
65,c,116.300304,39.988022,120.0,180.0,30.0,5,0.0,0
66,c,116.183096,39.701018,90.0,150.0,30.0,16,0.0,0
67,c,116.2717,39.696305,150.0,210.0,30.0,12,0.0,0
68,c,116.195216,39.828493,120.0,180.0,30.0,17,0.0,0
69,c,116.476932,39.879978,90.0,150.0,30.0,6,0.0,0
70,c,116.225847,40.143419,150.0,210.0,30.0,14,0.0,0
71,c,116.418194,39.935658,180.0,210.0,30.0,20,0.0,0
72,c,116.325976,40.165618,120.0,180.0,30.0,12,0.0,0
73,c,116.301821,39.788007,150.0,180.0,30.0,20,0.0,0
74,c,116.35725,39.877552,120.0,180.0,30.0,10,0.0,0
75,c,116.408927,39.862725,180.0,210.0,30.0,9,0.0,0
76,c,116.607442,39.980989,120.0,180.0,30.0,19,0.0,0
77,c,116.264527,39.90442,210.0,240.0,30.0,17,0.0,0
78,c,116.34877,39.709968,120.0,180.0,30.0,19,0.0,0
79,c,116.526961,39.813701,0.0,120.0,30.0,6,0.0,0
80,c,116.537335,39.874379,210.0,240.0,30.0,5,0.0,0
81,c,116.422373,39.922823,0.0,90.0,30.0,9,0.0,0
82,c,116.31785,40.049692,120.0,150.0,30.0,19,0.0,0
83,c,116.558528,39.770781,0.0,120.0,30.0,11,0.0,0
84,c,116.494686,39.859979,120.0,150.0,30.0,5,0.0,0
85,c,116.653142,39.912428,60.0,180.0,30.0,13,0.0,0
86,c,116.539637,40.03155,120.0,240.0,30.0,16,0.0,0
87,c,116.437659,39.922118,0.0,120.0,30.0,13,0.0,0
88,c,116.414636,40.081922,60.0,180.0,30.0,18,0.0,0
89,c,116.608911,39.943043,0.0,120.0,30.0,18,0.0,0
90,c,116.240179,39.832163,30.0,150.0,30.0,5,0.0,0
91,c,116.62493,39.922502,0.0,120.0,30.0,8,0.0,0
92,c,116.443819,39.737954,120.0,240.0,30.0,7,0.0,0
93,c,116.157995,39.971411,30.0,150.0,30.0,16,0.0,0
94,c,116.402641,39.8694,120.0,240.0,30.0,7,0.0,0
95,c,116.498756,40.13761,90.0,180.0,30.0,7,0.0,0
96,c,116.576626,39.93208,60.0,150.0,30.0,18,0.0,0
97,c,116.459352,39.926201,120.0,210.0,30.0,5,0.0,0
98,c,116.339701,40.000489,60.0,150.0,30.0,17,0.0,0
99,c,116.58067,39.847048,30.0,120.0,30.0,7,0.0,0
100,c,116.455124,39.817649,60.0,150.0,30.0,17,0.0,0
101,c,116.41465,39.844925,120.0,210.0,30.0,5,0.0,0
102,c,116.320712,39.911024,60.0,150.0,30.0,15,0.0,0
103,c,116.187568,39.855124,0.0,60.0,30.0,13,0.0,0
104,c,116.660333,39.956927,180.0,240.0,30.0,20,0.0,0
105,c,116.382861,39.870491,60.0,120.0,30.0,6,0.0,0
106,c,116.602154,39.95139,180.0,240.0,30.0,15,0.0,0
107,c,116.598924,39.89673,90.0,120.0,30.0,18,0.0,0
108,c,116.293006,39.90758,30.0,60.0,30.0,16,0.0,0
109,c,116.244166,40.042737,0.0,60.0,30.0,5,0.0,0
110,c,116.414572,40.009596,60.0,90.0,30.0,10,0.0,0
