Method,Total delivery,Total CP,Total EV,delivery2ev_ratio,Elapsed time (ms),Total cost,Total successful delivery,Avg. cost per successful delivery
Optimal,10,5,2,5,22906.99076652527,22.3902,10,2.23902
CSA,10,5,2,5,0.9999275207519531,24.410400000000003,9,2.712266666666667
NDF,10,5,2,5,0.9989738464355469,27.918599999999998,9,3.1020666666666665
EDF,10,5,2,5,0.0,24.410400000000003,9,2.712266666666667
Optimal,15,5,3,5,25950602.500915527,32.968999999999994,15,2.197933333333333
CSA,15,5,3,5,23.418426513671875,40.965300000000006,14,2.9260928571428577
NDF,15,5,3,5,0.0,52.992900000000006,15,3.5328600000000003
EDF,15,5,3,5,0.0,55.1823,14,3.941592857142857
CSA,25,5,5,5,2.000570297241211,74.6846,25,2.987384
NDF,25,5,5,5,1.0001659393310547,85.9807,25,3.439228
EDF,25,5,5,5,0.9992122650146484,86.35589999999999,24,3.5981624999999995
CSA,25,25,5,5,1.9516944885253906,67.7101,25,2.708404
NDF,25,25,5,5,1.9993782043457031,80.97559999999999,25,3.2390239999999992
EDF,25,25,5,5,1.0504722595214844,97.91680000000001,24,4.079866666666667
CSA,25,50,5,5,1.0006427764892578,63.6833,25,2.547332
NDF,25,50,5,5,3.057241439819336,80.9096,25,3.2363839999999997
EDF,25,50,5,5,2.9976367950439453,97.5717,24,4.065487500000001
CSA,25,75,5,5,1.9640922546386719,70.06899999999999,25,2.8027599999999997
NDF,25,75,5,5,5.000591278076172,77.16850000000001,25,3.0867400000000003
EDF,25,75,5,5,4.038095474243164,101.19969999999999,24,4.216654166666666
CSA,25,100,5,5,0.980377197265625,63.492000000000004,25,2.53968
NDF,25,100,5,5,5.021810531616211,79.4138,25,3.1765519999999996
EDF,25,100,5,5,4.961252212524414,98.38409999999999,24,4.0993375
CSA,25,5,2,10,0.9772777557373047,69.15480000000001,20,3.4577400000000003
NDF,25,5,2,10,1.0025501251220703,55.71439999999999,17,3.277317647058823
EDF,25,5,2,10,0.0,62.4456,20,3.12228
CSA,25,25,2,10,1.9848346710205078,64.16460000000001,22,2.9165727272727278
NDF,25,25,2,10,2.0151138305664062,53.14620000000001,17,3.12624705882353
EDF,25,25,2,10,0.9996891021728516,75.6939,20,3.784695
CSA,25,50,2,10,0.9899139404296875,61.5673,22,2.7985136363636367
NDF,25,50,2,10,3.011465072631836,50.8643,17,2.9920176470588236
EDF,25,50,2,10,2.9993057250976562,64.0999,20,3.2049950000000003
CSA,25,75,2,10,2.0008087158203125,60.783899999999996,22,2.7629045454545453
NDF,25,75,2,10,3.998279571533203,47.59310000000001,17,2.799594117647059
EDF,25,75,2,10,4.001617431640625,68.1663,20,3.4083150000000004
CSA,25,100,2,10,1.9986629486083984,59.581500000000005,22,2.70825
NDF,25,100,2,10,6.00123405456543,47.763600000000004,17,2.809623529411765
EDF,25,100,2,10,5.961894989013672,63.9268,20,3.19634
CSA,50,5,10,5,2.9625892639160156,136.97839999999997,50,2.7395679999999993
NDF,50,5,10,5,0.9984970092773438,183.61759999999998,49,3.747297959183673
EDF,50,5,10,5,1.0013580322265625,210.7376,50,4.214752
CSA,50,25,10,5,2.9990673065185547,130.5845,50,2.61169
