itr,Methods,Total delivery,Total CP,Total EV,delivery2ev_ratio,Elapsed time (ms),Total reward,Total cost,Objective val,Total successful delivery,Avg. cost per successful delivery
1,Optimal,10,3,2,5.0,37422.3051071167,159.00000000000003,7.572000003446549,151.42799999655347,10,0.7572000003446548
1,CSA,10,3,2,5.0,2.363443374633789,128,38.33,89.67,8,4.79125
1,RL,10,3,2,5.0,43.75731400796212,125.0,31.400040133684872,93.59996032714844,8,3.925005016710609
2,Optimal,10,3,2,5.0,7178.219556808472,111.0,3.1649999999999645,107.83500000000004,8,0.39562499999999556
2,CSA,10,3,2,5.0,2.5250911712646484,103,22.58,80.42,8,2.8225
2,RL,10,3,2,5.0,31.778528005816042,76.0,0.0,76.0,7,0.0
3,Optimal,10,3,2,5.0,9156.804323196411,94.0,7.455000000000015,86.54499999999999,8,0.9318750000000019
3,CSA,10,3,2,5.0,2.080202102661133,112,35.7,76.3,9,3.966666666666667
3,RL,10,3,2,5.0,31.258513015927747,75.0,8.27998474148661,66.72001647949219,7,1.1828549630695158
4,Optimal,10,3,2,5.0,1366.4765357971191,87.0,0.0,87.0,7,0.0
4,CSA,10,3,2,5.0,2.277374267578125,84,18.89,65.11,8,2.36125
4,RL,10,3,2,5.0,34.50722200796008,94.0,0.0,94.0,8,0.0
5,Optimal,10,3,2,5.0,19202.898263931274,119.0,4.81799999999977,114.18200000000023,8,0.6022499999999712
5,CSA,10,3,2,5.0,1.8796920776367188,130,29.47,100.53,9,3.2744444444444443
5,RL,10,3,2,5.0,34.57798299496062,94.0,23.01491183774918,70.9850845336914,6,3.8358186396248635
6,Optimal,10,3,2,5.0,1265.6660079956055,114.0,12.696399999999997,101.3036,9,1.4107111111111108
6,CSA,10,3,2,5.0,2.1522045135498047,85,38.79,46.21,7,5.541428571428571
6,RL,10,3,2,5.0,33.9866440044716,82.0,27.532919384591285,54.467079162597656,7,3.933274197798755
7,Optimal,10,3,2,5.0,5179.620265960693,101.0,2.9459999999999913,98.054,6,0.49099999999999855
7,CSA,10,3,2,5.0,2.2597312927246094,115,32.8,82.2,8,4.1
7,RL,10,3,2,5.0,31.45718900486827,95.0,11.518300171636046,83.48169708251953,7,1.6454714530908636
8,Optimal,10,3,2,5.0,12553.674697875977,78.0,3.6719999999999997,74.328,7,0.5245714285714286
8,CSA,10,3,2,5.0,2.01416015625,83,28.599999999999998,54.400000000000006,8,3.5749999999999997
8,RL,10,3,2,5.0,37.07096099969931,75.0,21.237400316461923,53.76259994506836,8,2.6546750395577403
9,Optimal,10,3,2,5.0,2092.6575660705566,129.0,7.319999999999906,121.6800000000001,10,0.7319999999999907
9,CSA,10,3,2,5.0,2.058744430541992,112,36.28,75.72,9,4.0311111111111115
9,RL,10,3,2,5.0,33.744046988431364,102.0,12.02950239507109,89.97049713134766,8,1.5036877993838862
10,Optimal,10,3,2,5.0,423347.59426116943,0.0,0,0,0,
10,CSA,10,3,2,5.0,2.213716506958008,124,52.07,71.93,10,5.207
10,RL,10,3,2,5.0,33.227806008653715,88.0,16.05775479850173,71.94224548339844,8,2.007219349812716
