itr,Methods,Total delivery,Total CP,Total EV,delivery2ev_ratio,Elapsed time (ms),Total reward,Total cost,Objective val,Total successful delivery,Avg. cost per successful delivery
1,Optimal,5,3,2,2.5,747.0300197601318,73.0,0.0,73.0,5,0.0
1,CSA,5,3,2,2.5,2.230405807495117,73,13.06,59.94,5,2.612
1,RL,5,3,2,2.5,30.080577009357512,73.0,15.654489549547435,57.34550857543945,5,3.130897909909487
2,Optimal,5,3,2,2.5,253.87978553771973,69.99999999999999,4.433999999999989,65.566,5,0.8867999999999977
2,CSA,5,3,2,2.5,2.1398067474365234,70,22.71,47.29,5,4.542
2,RL,5,3,2,2.5,26.83720801724121,70.0,16.468582293346525,53.53141784667969,5,3.293716458669305
3,Optimal,5,3,2,2.5,92.98229217529297,72.0,1.68,70.32,5,0.33599999999999997
3,CSA,5,3,2,2.5,1.6815662384033203,72,19.98,52.019999999999996,5,3.996
3,RL,5,3,2,2.5,26.63891698466614,72.0,0.0,72.0,5,0.0
4,Optimal,5,3,2,2.5,215.35611152648926,75.0,1.1730000000000544,73.82699999999994,5,0.23460000000001088
4,CSA,5,3,2,2.5,1.8107891082763672,75,15.37,59.63,5,3.074
4,RL,5,3,2,2.5,26.61161101423204,75.0,13.807307464979589,61.192691802978516,5,2.7614614929959176
5,Optimal,5,3,2,2.5,233.0639362335205,60.0,3.3389999999999995,56.661,5,0.6678
5,CSA,5,3,2,2.5,1.6217231750488281,54,25.22,28.78,4,6.305
5,RL,5,3,2,2.5,23.76838499912992,60.0,0.0,60.0,5,0.0
6,Optimal,5,3,2,2.5,223.80685806274414,52.00000000000001,5.447999999999886,46.55200000000012,5,1.0895999999999773
6,CSA,5,3,2,2.5,1.6324520111083984,44,15.04,28.96,4,3.76
6,RL,5,3,2,2.5,29.425201995763928,33.0,27.45729899287224,5.542699813842773,4,6.86432474821806
7,Optimal,5,3,2,2.5,78.15241813659668,57.0,3.8819999999999855,53.118000000000016,5,0.7763999999999971
7,CSA,5,3,2,2.5,1.6651153564453125,52,24.7,27.3,4,6.175
7,RL,5,3,2,2.5,26.68243198422715,57.0,16.09456453688443,40.905433654785156,5,3.218912907376886
8,Optimal,5,3,2,2.5,109.55142974853516,58.0,2.7929999999999917,55.20700000000001,5,0.5585999999999983
8,CSA,5,3,2,2.5,1.74713134765625,58,22.42,35.58,5,4.484
8,RL,5,3,2,2.5,26.7256970400922,58.0,11.035627683565021,46.96437072753906,5,2.2071255367130043
9,Optimal,5,3,2,2.5,109.0383529663086,60.0,2.4839999999999844,57.51600000000001,5,0.4967999999999969
9,CSA,5,3,2,2.5,1.6741752624511719,60,20.0,40.0,5,4.0
9,RL,5,3,2,2.5,26.533952041063458,60.0,11.311289788484574,48.6887092590332,5,2.2622579576969146
10,Optimal,5,3,2,2.5,75.94561576843262,61.0,1.5269999999999764,59.47300000000002,5,0.3053999999999953
10,CSA,5,3,2,2.5,1.7619132995605469,51,10.84,40.16,4,2.71
10,RL,5,3,2,2.5,26.621660974342376,61.0,12.132464460700751,48.86753463745117,5,2.4264928921401503
