itr,Methods,Total delivery,Total CP,Total EV,delivery2ev_ratio,Elapsed time (ms),Total reward,Total cost,Objective val,Total successful delivery,Avg. cost per successful delivery
1,CSA,10,20,2,5.0,2.0933151245117188,126,16.77,109.23,9,1.8633333333333333
1,NDF,10,20,2,5.0,0.13971328735351562,117.0,11.817,105.18299999999999,8,1.477125
1,EDF,10,20,2,5.0,0.1239776611328125,126.0,31.133499999999998,94.8665,9,3.4592777777777775
1,Hybrid_RL4CO,10,20,2,5.0,885.4561040061526,117.0,13.770975,103.22902500000001,8,1.721371875
1,Hybrid_RL4CO_partial_charging,10,20,2,5.0,885.4561040061526,117.0,13.770975,103.22902500000001,8,1.721371875
1,RL,10,20,2,5.0,97.78342698700726,97.0,36.4588867752105,60.5411132247895,7,5.208412396458643
1,RL_partial_charging,10,20,2,5.0,97.78342698700726,97.0,27.973217871204017,69.02678212879599,7,3.996173981600574
1,Baseline,10,20,2,5.0,50.0,110.0,16.55655,93.44345,8,2.06956875
2,CSA,10,20,2,5.0,2.015829086303711,149,26.37,122.63,9,2.93
2,NDF,10,20,2,5.0,0.1323223114013672,149.0,34.5329,114.4671,9,3.8369888888888886
2,EDF,10,20,2,5.0,0.11348724365234375,149.0,33.9486,115.0514,9,3.7720666666666665
2,Hybrid_RL4CO,10,20,2,5.0,859.2180070118047,117.0,31.784287500000005,85.2157125,7,4.540612500000001
2,Hybrid_RL4CO_partial_charging,10,20,2,5.0,859.2180070118047,117.0,24.074685000000002,92.925315,7,3.4392407142857144
2,RL,10,20,2,5.0,95.54496995406225,111.0,33.3495876532048,77.6504123467952,7,4.764226807600686
2,RL_partial_charging,10,20,2,5.0,95.54496995406225,111.0,28.400500658899546,82.59949934110045,7,4.057214379842792
2,Baseline,10,20,2,5.0,40.0,165.0,19.744699999999998,145.2553,10,1.9744699999999997
3,CSA,10,20,2,5.0,1.817941665649414,130,30.04,99.96000000000001,10,3.004
3,NDF,10,20,2,5.0,0.13780593872070312,115.0,26.2112,88.7888,9,2.9123555555555556
3,EDF,10,20,2,5.0,0.11348724365234375,115.0,38.309799999999996,76.6902,9,4.256644444444444
3,Hybrid_RL4CO,10,20,2,5.0,860.0176789914258,114.0,34.77503,79.22497,9,3.8638922222222223
3,Hybrid_RL4CO_partial_charging,10,20,2,5.0,860.0176789914258,114.0,29.65663,84.34337,9,3.295181111111111
3,RL,10,20,2,5.0,111.01133498596027,124.0,38.01366551543027,85.98633448456974,9,4.223740612825585
3,RL_partial_charging,10,20,2,5.0,111.01133498596027,124.0,33.28913312154263,90.71086687845737,9,3.6987925690602927
3,Baseline,10,20,2,5.0,60.0,130.0,23.402485,106.597515,10,2.3402485
4,CSA,10,20,2,5.0,1.8553733825683594,116,28.11,87.89,8,3.51375
4,NDF,10,20,2,5.0,0.1289844512939453,124.0,29.0393,94.9607,9,3.226588888888889
4,EDF,10,20,2,5.0,0.1201629638671875,108.0,35.5823,72.4177,8,4.4477875
4,Hybrid_RL4CO,10,20,2,5.0,867.7816030103713,82.0,29.90182,52.09818,6,4.9836366666666665
4,Hybrid_RL4CO_partial_charging,10,20,2,5.0,867.7816030103713,82.0,24.577280000000002,57.42272,6,4.096213333333334
4,RL,10,20,2,5.0,117.93487804243341,134.0,47.20247404903918,86.79752595096082,9,5.244719338782131
4,RL_partial_charging,10,20,2,5.0,117.93487804243341,134.0,43.79577975621075,90.20422024378925,9,4.866197750690083
4,Baseline,10,20,2,5.0,70.0,121.0,25.560480000000002,95.43952,8,3.1950600000000002
5,CSA,10,20,2,5.0,1.7769336700439453,99,23.740000000000002,75.25999999999999,7,3.391428571428572
5,NDF,10,20,2,5.0,0.13327598571777344,115.0,38.9369,76.06309999999999,9,4.326322222222222
5,EDF,10,20,2,5.0,0.11968612670898438,109.0,48.872899999999994,60.127100000000006,8,6.109112499999999
5,Hybrid_RL4CO,10,20,2,5.0,862.864852999337,80.0,29.565130000000003,50.43487,6,4.927521666666667
5,Hybrid_RL4CO_partial_charging,10,20,2,5.0,862.864852999337,80.0,24.032295,55.967704999999995,6,4.0053825000000005
5,RL,10,20,2,5.0,103.04546199040487,109.0,49.38140405571461,59.61859594428539,8,6.172675506964326
